Id,field,age,type,year,month,production,BDRICM_BDRICM_M,BDRLOG_BDRLOG_M,BDTICM_BDTICM_M,BLDFIE_sl1,BLDFIE_sl2,BLDFIE_sl3,BLDFIE_sl4,BLDFIE_sl5,BLDFIE_sl6,BLDFIE_sl7,CECSOL_sl1,CECSOL_sl2,CECSOL_sl3,CECSOL_sl4,CECSOL_sl5,CECSOL_sl6,CECSOL_sl7,CLYPPT_sl1,CLYPPT_sl2,CLYPPT_sl3,CLYPPT_sl4,CLYPPT_sl5,CLYPPT_sl6,CLYPPT_sl7,CRFVOL_sl1,CRFVOL_sl2,CRFVOL_sl3,CRFVOL_sl4,CRFVOL_sl5,CRFVOL_sl6,CRFVOL_sl7,OCSTHA_sd1,OCSTHA_sd2,OCSTHA_sd3,OCSTHA_sd4,OCSTHA_sd5,OCSTHA_sd6,ORCDRC_sl1,ORCDRC_sl2,ORCDRC_sl3,ORCDRC_sl4,ORCDRC_sl5,ORCDRC_sl6,ORCDRC_sl7,PHIHOX_sl1,PHIHOX_sl2,PHIHOX_sl3,PHIHOX_sl4,PHIHOX_sl5,PHIHOX_sl6,PHIHOX_sl7,PHIKCL_sl1,PHIKCL_sl2,PHIKCL_sl3,PHIKCL_sl4,PHIKCL_sl5,PHIKCL_sl6,PHIKCL_sl7,SLTPPT_sl1,SLTPPT_sl2,SLTPPT_sl3,SLTPPT_sl4,SLTPPT_sl5,SLTPPT_sl6,SLTPPT_sl7,SNDPPT_sl1,SNDPPT_sl2,SNDPPT_sl3,SNDPPT_sl4,SNDPPT_sl5,SNDPPT_sl6,SNDPPT_sl7,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation,temperature_b1,temperature_b2,temperature_b3,temperature_b4,temperature_b5,temperature_b6,temperature_b7,temperature_b8,temperature_b9,temperature_b10,temperature_b11,temperature_b12,dewpoint_b1,dewpoint_b2,dewpoint_b3,dewpoint_b4,dewpoint_b5,dewpoint_b6,dewpoint_b7,dewpoint_b8,dewpoint_b9,dewpoint_b10,dewpoint_b11,dewpoint_b12,windspeed_b1,windspeed_b2,windspeed_b3,windspeed_b4,windspeed_b5,windspeed_b6,windspeed_b7,windspeed_b8,windspeed_b9,windspeed_b10,windspeed_b11,windspeed_b12,Soilwater_L1_b1,Soilwater_L1_b2,Soilwater_L1_b3,Soilwater_L1_b4,Soilwater_L1_b5,Soilwater_L1_b6,Soilwater_L1_b7,Soilwater_L1_b8,Soilwater_L1_b9,Soilwater_L1_b10,Soilwater_L1_b11,Soilwater_L1_b12,Precipitation_b1,Precipitation_b2,Precipitation_b3,Precipitation_b4,Precipitation_b5,Precipitation_b6,Precipitation_b7,Precipitation_b8,Precipitation_b9,Precipitation_b10,Precipitation_b11,Precipitation_b12
0,0,19,5,2004,1,0.0640710823909531,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.132,24.661,1.8766,0.35274,0.35192,0.34844,0.33385,360.91,26.795,27.387,27.488,27.257,27.178,26.811,26.453,26.598,25.936,24.954,25.294,26.571,24.212,23.698,23.432,23.595,23.695,23.612,24.298,24.746,24.775,23.839,24.065,23.849,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,1.6978,1.7801,1.9167,1.8779,2.2466,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,0.34484,0.35945,0.35731,0.35245,0.3086,182.89,65.667,145.98,108.81,117.95,110.69,154.87,220.06,319.39,481.38,406.12,187.48
1,0,19,5,2004,2,0.0476575121163166,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67,26.132,26.795,27.387,27.488,27.257,27.178,26.811,26.453,26.598,25.936,24.954,25.294,24.661,24.212,23.698,23.432,23.595,23.695,23.612,24.298,24.746,24.775,23.839,24.065,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,1.6978,1.7801,1.9167,1.8779,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,0.34484,0.35945,0.35731,0.35245,360.91,182.89,65.667,145.98,108.81,117.95,110.69,154.87,220.06,319.39,481.38,406.12
2,0,19,5,2004,3,0.0168659127625201,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,25.61,24.651,1.9948,0.36399,0.36383,0.36351,0.36575,460.76,25.295,26.132,26.795,27.387,27.488,27.257,27.178,26.811,26.453,26.598,25.936,24.954,24.401,24.661,24.212,23.698,23.432,23.595,23.695,23.612,24.298,24.746,24.775,23.839,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,1.6978,1.7801,1.9167,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,0.34484,0.35945,0.35731,484.67,360.91,182.89,65.667,145.98,108.81,117.95,110.69,154.87,220.06,319.39,481.38
3,0,19,5,2004,4,0.0255250403877221,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.328,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02,25.61,25.295,26.132,26.795,27.387,27.488,27.257,27.178,26.811,26.453,26.598,25.936,24.651,24.401,24.661,24.212,23.698,23.432,23.595,23.695,23.612,24.298,24.746,24.775,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,1.6978,1.7801,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,0.34484,0.35945,460.76,484.67,360.91,182.89,65.667,145.98,108.81,117.95,110.69,154.87,220.06,319.39
4,0,19,5,2004,5,0.0476898222940226,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.566,24.94,1.8569,0.36002,0.36022,0.36085,0.36468,186.72,26.328,25.61,25.295,26.132,26.795,27.387,27.488,27.257,27.178,26.811,26.453,26.598,24.753,24.651,24.401,24.661,24.212,23.698,23.432,23.595,23.695,23.612,24.298,24.746,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,1.6978,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,0.34484,350.02,460.76,484.67,360.91,182.89,65.667,145.98,108.81,117.95,110.69,154.87,220.06
5,0,19,5,2004,6,0.1475282714054927,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.077,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45,26.566,26.328,25.61,25.295,26.132,26.795,27.387,27.488,27.257,27.178,26.811,26.453,24.94,24.753,24.651,24.401,24.661,24.212,23.698,23.432,23.595,23.695,23.612,24.298,1.8569,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,1.6886,0.36002,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,0.33592,186.72,350.02,460.76,484.67,360.91,182.89,65.667,145.98,108.81,117.95,110.69,154.87
6,0,19,5,2004,7,0.3682714054927303,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.182,23.648,1.8517,0.34244,0.34307,0.34552,0.35143,173.3,26.077,26.566,26.328,25.61,25.295,26.132,26.795,27.387,27.488,27.257,27.178,26.811,24.373,24.94,24.753,24.651,24.401,24.661,24.212,23.698,23.432,23.595,23.695,23.612,1.8734,1.8569,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,1.7771,0.35241,0.36002,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,0.31583,109.45,186.72,350.02,460.76,484.67,360.91,182.89,65.667,145.98,108.81,117.95,110.69
7,0,19,5,2004,8,0.4391922455573506,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,26.597,23.918,1.9428,0.32118,0.32079,0.32168,0.33193,169.62,26.182,26.077,26.566,26.328,25.61,25.295,26.132,26.795,27.387,27.488,27.257,27.178,23.648,24.373,24.94,24.753,24.651,24.401,24.661,24.212,23.698,23.432,23.595,23.695,1.8517,1.8734,1.8569,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,1.894,0.34244,0.35241,0.36002,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,0.2987,173.3,109.45,186.72,350.02,460.76,484.67,360.91,182.89,65.667,145.98,108.81,117.95
8,0,19,5,2004,9,0.4110823909531503,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,27.036,24.233,2.0291,0.32212,0.32032,0.31891,0.32213,139.82,26.597,26.182,26.077,26.566,26.328,25.61,25.295,26.132,26.795,27.387,27.488,27.257,23.918,23.648,24.373,24.94,24.753,24.651,24.401,24.661,24.212,23.698,23.432,23.595,1.9428,1.8517,1.8734,1.8569,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,2.0565,0.32118,0.34244,0.35241,0.36002,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,0.30036,169.62,173.3,109.45,186.72,350.02,460.76,484.67,360.91,182.89,65.667,145.98,108.81
9,0,19,5,2004,10,0.4294668820678513,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36,27.602,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,221.24,27.036,26.597,26.182,26.077,26.566,26.328,25.61,25.295,26.132,26.795,27.387,27.488,24.233,23.918,23.648,24.373,24.94,24.753,24.651,24.401,24.661,24.212,23.698,23.432,2.0291,1.9428,1.8517,1.8734,1.8569,1.9063,1.9948,1.9206,1.8766,2.051,2.0756,2.1824,0.32212,0.32118,0.34244,0.35241,0.36002,0.35677,0.36399,0.36361,0.35274,0.31383,0.29869,0.29202,139.82,169.62,173.3,109.45,186.72,350.02,460.76,484.67,360.91,182.89,65.667,145.98
